Season,TeamID,GamesPlayed,Wins,Losses,AvgPointsFor,AvgPointsAgainst,AvgScoreDiff,AvgAssists,AvgTurnovers,AvgRebounds,AvgSteals,AvgBlocks,AvgFouls,AvgFGM,AvgFGA,AvgFGM3,AvgFGA3,AvgFTM,AvgFTA,WinPct,TeamName,Seed,SeedNum,MasseyRankMean,MasseyRankMedian,MasseySystemsCount,MasseyLatestDay,MaxTourneyDayNum,RoundReachedNum,RoundReached,MadeTournament,TourneyWins,TourneyLosses
2003,1102,28,12,16,57.25,57.0,0.25,13.0,11.428571428571429,21.0,5.964285714285714,1.7857142857142858,18.75,19.142857142857142,39.785714285714285,7.821428571428571,20.821428571428573,11.142857142857142,17.107142857142858,0.42857142857142855,Air Force,,,154.05882352941177,155.5,34.0,133.0,,,,0,0,0
2003,1103,27,13,14,78.77777777777777,78.14814814814815,0.6296296296296297,15.222222222222221,12.62962962962963,29.703703703703702,7.2592592592592595,2.3333333333333335,19.85185185185185,27.14814814814815,55.851851851851855,5.444444444444445,16.074074074074073,19.037037037037038,25.85185185185185,0.48148148148148145,Akron,,,168.7058823529412,170.5,34.0,133.0,,,,0,0,0
2003,1104,28,17,11,69.28571428571429,65.0,4.285714285714286,12.107142857142858,13.285714285714286,37.5,6.607142857142857,3.7857142857142856,18.035714285714285,24.035714285714285,57.17857142857143,6.357142857142857,19.857142857142858,14.857142857142858,20.928571428571427,0.6071428571428571,Alabama,Y10,10,36.638888888888886,37.0,36.0,133.0,137.0,3,R3,1,0,1
2003,1105,26,7,19,71.76923076923077,76.65384615384616,-4.884615384615385,14.538461538461538,18.653846153846153,36.61538461538461,9.307692307692308,2.076923076923077,20.23076923076923,24.384615384615383,61.61538461538461,7.576923076923077,20.76923076923077,15.423076923076923,21.846153846153847,0.2692307692307692,Alabama A&M,,,308.7352941176471,310.0,34.0,133.0,,,,0,0,0
2003,1106,28,13,15,63.607142857142854,63.75,-0.14285714285714285,11.678571428571429,17.035714285714285,36.142857142857146,8.357142857142858,3.142857142857143,18.178571428571427,23.428571428571427,55.285714285714285,6.107142857142857,17.642857142857142,10.642857142857142,16.464285714285715,0.4642857142857143,Alabama St,,,260.9117647058824,265.5,34.0,133.0,,,,0,0,0
2003,1107,28,7,21,65.92857142857143,75.71428571428571,-9.785714285714286,11.928571428571429,12.571428571428571,28.5,6.857142857142857,2.0357142857142856,15.892857142857142,24.035714285714285,57.464285714285715,7.928571428571429,22.178571428571427,9.928571428571429,13.535714285714286,0.25,SUNY Albany,,,301.94117647058823,303.0,34.0,133.0,,,,0,0,0
2003,1108,33,14,19,69.0909090909091,73.12121212121212,-4.03030303030303,13.848484848484848,18.454545454545453,36.333333333333336,8.181818181818182,3.515151515151515,19.666666666666668,24.939393939393938,58.72727272727273,5.212121212121212,16.333333333333332,14.0,20.939393939393938,0.42424242424242425,Alcorn St,,,273.5,274.0,34.0,133.0,,,,0,0,0
2003,1110,30,16,14,66.36666666666666,61.9,4.466666666666667,14.233333333333333,13.166666666666666,33.13333333333333,6.4,1.7333333333333334,18.133333333333333,23.166666666666668,53.53333333333333,8.766666666666667,23.133333333333333,11.266666666666667,16.533333333333335,0.5333333333333333,American Univ,,,172.26470588235293,176.0,34.0,133.0,,,,0,0,0
2003,1111,26,16,10,83.26923076923077,81.73076923076923,1.5384615384615385,15.23076923076923,16.192307692307693,38.30769230769231,9.846153846153847,4.615384615384615,18.692307692307693,28.615384615384617,64.5,7.1923076923076925,21.96153846153846,18.846153846153847,26.192307692307693,0.6153846153846154,Appalachian St,,,154.44117647058823,150.5,34.0,133.0,,,,0,0,0
2003,1112,28,25,3,85.21428571428571,70.25,14.964285714285714,17.642857142857142,14.785714285714286,42.82142857142857,8.464285714285714,4.214285714285714,17.75,30.321428571428573,65.71428571428571,7.035714285714286,20.071428571428573,17.535714285714285,25.0,0.8928571428571429,Arizona,Z01,1,2.611111111111111,2.0,36.0,133.0,145.0,8,R8,1,3,1
2003,1113,29,18,11,75.96551724137932,69.17241379310344,6.793103448275862,15.551724137931034,14.0,37.0,5.206896551724138,4.241379310344827,19.413793103448278,27.20689655172414,56.89655172413793,4.0,12.586206896551724,17.551724137931036,26.20689655172414,0.6206896551724138,Arizona St,Z10,10,35.76470588235294,34.0,34.0,133.0,138.0,4,R4,1,1,1
2003,1114,28,16,12,70.03571428571429,70.07142857142857,-0.03571428571428571,11.5,15.964285714285714,33.392857142857146,6.607142857142857,2.357142857142857,20.5,23.857142857142858,53.214285714285715,6.785714285714286,18.285714285714285,15.535714285714286,22.428571428571427,0.5714285714285714,Ark Little Rock,,,150.02941176470588,150.0,34.0,133.0,,,,0,0,0
2003,1115,28,4,24,54.5,74.17857142857143,-19.678571428571427,10.178571428571429,19.107142857142858,31.0,7.964285714285714,2.75,20.25,19.25,54.285714285714285,4.75,16.857142857142858,11.25,17.607142857142858,0.14285714285714285,Ark Pine Bluff,,,319.52941176470586,319.0,34.0,133.0,,,,0,0,0
2003,1116,28,9,19,61.642857142857146,66.53571428571429,-4.892857142857143,9.821428571428571,16.678571428571427,37.964285714285715,6.464285714285714,3.5357142857142856,20.928571428571427,21.821428571428573,55.57142857142857,6.071428571428571,19.571428571428573,11.928571428571429,19.571428571428573,0.32142857142857145,Arkansas,,,131.23529411764707,130.0,34.0,133.0,,,,0,0,0
2003,1117,26,11,15,71.11538461538461,69.8076923076923,1.3076923076923077,11.923076923076923,13.26923076923077,31.346153846153847,7.153846153846154,1.6538461538461537,21.423076923076923,23.692307692307693,54.69230769230769,7.923076923076923,21.346153846153847,15.807692307692308,21.423076923076923,0.4230769230769231,Arkansas St,,,182.64705882352942,187.5,34.0,133.0,,,,0,0,0
2003,1119,25,3,22,53.68,67.48,-13.8,11.72,17.36,29.48,5.56,1.6,19.32,19.6,47.6,5.88,16.52,8.6,12.72,0.12,Army,,,318.61764705882354,319.0,34.0,133.0,,,,0,0,0
